nome_x,nome_regiao,quantidade_nascimentos_ate_2010,genero
Adailon,Nordeste,16,masculino
Adailsa,Sudeste,55,feminino
Adailso,Sudeste,12,masculino
Adailsom,Sudeste,11,masculino
Adailson,Nordeste,2644,masculino
Adailta,Nordeste,11,feminino
Adailto,Sudeste,225,masculino
Adailtom,Sudeste,161,masculino
Adailton,Nordeste,19480,masculino
Adailza,Nordeste,204,feminino
Adair,Sul,10400,masculino
Adairton,Nordeste,48,masculino
Adaisa,Sudeste,16,feminino
Adaise,Nordeste,11,feminino
Adaison,Sudeste,20,masculino
Adaitom,Sudeste,11,masculino
Adaiton,Sudeste,94,masculino
Adaiza,Sudeste,24,feminino
Adala,Nordeste,14,feminino
Adalbero,Sudeste,12,masculino
Adalberon,Nordeste,91,masculino
Adalbert,Sudeste,28,masculino
Adalberto,Sudeste,18302,masculino
Adalbeto,Sudeste,17,masculino
Adalbrto,Sudeste,12,masculino
Adalci,Centro-Oeste,27,ambos
Adalcimar,Norte,28,masculino
Adalcina,Sudeste,33,feminino
Adalcino,Centro-Oeste,42,masculino
Adalcir,Sudeste,12,masculino
Adalecio,Sudeste,10,masculino
Adaleia,Sudeste,11,feminino
Adalerto,Nordeste,36,masculino
Adalgisa,Sudeste,2609,feminino
Adalgiso,Sudeste,26,masculino
Adalgiza,Sudeste,760,feminino
Adalia,Sudeste,208,feminino
Adalice,Nordeste,216,feminino
Adalicio,Nordeste,181,masculino
Adalio,Sudeste,14,masculino
Adaljisa,Nordeste,11,feminino
Adalmario,Sudeste,10,masculino
Adalmir,Sudeste,178,masculino
Adalmiro,Sudeste,13,masculino
Adalmo,Sudeste,55,masculino
Adalri,Sudeste,12,masculino
Adalta,Sudeste,20,feminino
Adaltina,Sudeste,14,feminino
Adaltiva,Sudeste,35,feminino
Adalto,Sudeste,7120,masculino
Adaltom,Sudeste,15,masculino
Adalton,Sudeste,1419,masculino
Adaltro,Nordeste,10,masculino
Adaltu,Sudeste,12,masculino
Adalucia,Sudeste,10,feminino
Adalva,Nordeste,81,feminino
Adalvina,Sudeste,10,feminino
Adalvo,Sudeste,17,masculino
Adalzemir,Norte,10,desconhecido
Adalzira,Sudeste,41,feminino
Adalziza,Sudeste,19,feminino
Adam,Sudeste,565,masculino
Adamar,Sudeste,15,masculino
Adamaris,Sudeste,10,feminino
Adamastor,Sudeste,131,masculino
Adamilton,Norte,31,masculino
Adamir,Sudeste,38,provavelmente_masculino
Adamis,Norte,11,masculino
Adamo,Sudeste,88,masculino
Adamor,Norte,602,masculino
Adams,Nordeste,33,masculino
Adan,Sudeste,496,masculino
Adaneuza,Nordeste,12,desconhecido
Adaniel,Sudeste,15,masculino
Adanilson,Norte,12,masculino
Adans,Sudeste,41,masculino
Adao,Sudeste,41950,masculino
Adara,Sudeste,25,feminino
Adarci,Sudeste,14,provavelmente_feminino
Adario,Sudeste,10,masculino
Adassa,Nordeste,20,feminino
Adauane,Sudeste,10,feminino
Adauberto,Nordeste,26,masculino
Adaulto,Sudeste,12,masculino
Adaumir,Norte,17,desconhecido
Adauri,Sudeste,60,masculino
Adaury,Sudeste,14,masculino
Adauto,Sudeste,1978,masculino
Adauton,Sudeste,14,masculino
Adavilson,Centro-Oeste,25,masculino
Adda,Sudeste,13,feminino
Ade,Sudeste,13,masculino
Adebaldo,Nordeste,32,masculino
Adebora,Sudeste,10,feminino
Adeci,Sudeste,32,provavelmente_feminino
Adecilda,Nordeste,10,feminino
Adecio,Nordeste,84,masculino
Adecir,Sul,24,masculino
Adegildo,Sudeste,17,masculino
Adegilson,Sudeste,38,masculino
Adegmar,Sudeste,22,ambos
Adeide,Sudeste,48,feminino
Adeido,Sudeste,24,masculino
Adeil,Sudeste,13,masculino
Adeilda,Nordeste,2208,feminino
Adeilde,Nordeste,342,feminino
Adeildes,Nordeste,137,feminino
Adeildo,Nordeste,4631,masculino
Adeildon,Sudeste,12,masculino
Adeilma,Nordeste,209,feminino
Adeilsa,Nordeste,101,feminino
Adeilsom,Nordeste,22,masculino
Adeilson,Nordeste,5293,masculino
Adeilto,Sudeste,49,masculino
Adeiltom,Sudeste,48,masculino
Adeilton,Nordeste,4249,masculino
Adeilza,Nordeste,318,feminino
Adeir,Sudeste,1187,provavelmente_masculino
Adeison,Sudeste,64,masculino
Adeiton,Sudeste,42,masculino
Adeiuda,Sudeste,11,desconhecido
Adejair,Sudeste,44,masculino
Adejane,Sudeste,12,feminino
Adejar,Centro-Oeste,23,masculino
Adel,Sul,68,masculino
Adela,Sudeste,119,feminino
Adelade,Sudeste,13,feminino
Adeladio,Nordeste,10,masculino
Adelaida,Sudeste,16,feminino
Adelaide,Sudeste,10427,feminino
Adelaido,Sudeste,16,masculino
Adelaine,Sudeste,276,feminino
Adelair,Sul,62,provavelmente_feminino
Adelan,Sudeste,12,masculino
Adelane,Nordeste,80,feminino
Adelania,Nordeste,11,feminino
Adelano,Nordeste,12,masculino
Adelar,Sul,5453,masculino
Adelci,Sudeste,27,ambos
Adelcina,Sudeste,15,feminino
Adelcino,Sudeste,11,masculino
Adelcio,Sudeste,447,Indefinido
Adelcir,Sudeste,12,masculino
Adelco,Sudeste,11,masculino
Adele,Sudeste,134,feminino
Adeleide,Sudeste,11,feminino
Adelfina,Sudeste,10,feminino
Adelfo,Sudeste,10,masculino
Adelha,Sudeste,36,feminino
Adeli,Sudeste,427,provavelmente_feminino
Adelia,Sudeste,14325,feminino
Adeliana,Sudeste,16,feminino
Adeliane,Nordeste,65,feminino
Adelice,Sudeste,562,feminino
Adelicia,Sudeste,134,feminino
Adelicio,Sudeste,137,masculino
Adelide,Sudeste,24,feminino
Adelidio,Nordeste,14,masculino
Adelina,Sudeste,9285,feminino
Adelinda,Sudeste,21,feminino
Adeline,Sudeste,142,feminino
Adelino,Sudeste,6588,masculino
Adelio,Sudeste,968,masculino
Adelir,Sul,1431,provavelmente_masculino
Adelirio,Sul,51,masculino
Adelisa,Sudeste,12,feminino
Adelita,Sudeste,508,feminino
Adelite,Sudeste,18,feminino
Adelito,Sudeste,26,masculino
Adelma,Nordeste,1378,feminino
Adelman,Nordeste,34,masculino
Adelmar,Nordeste,91,masculino
Adelmario,Nordeste,37,masculino
Adelmir,Nordeste,50,masculino
Adelmira,Nordeste,13,feminino
Adelmiro,Nordeste,14,masculino
Adelmo,Nordeste,4028,masculino
Adelor,Sul,81,masculino
Adelsio,Sudeste,25,masculino
Adelso,Sudeste,372,masculino
Adelsom,Sudeste,79,masculino
Adelson,Sudeste,8205,masculino
Adelto,Sudeste,17,masculino
Adelton,Sudeste,42,masculino
Adelucia,Sudeste,12,feminino
Adelvan,Nordeste,162,masculino
Adelvando,Nordeste,13,masculino
Adelvania,Sudeste,11,feminino
Adelvina,Nordeste,25,feminino
Adelvino,Sudeste,14,masculino
Adelvita,Sudeste,11,feminino
Adely,Sudeste,32,feminino
Adelza,Sudeste,19,feminino
Adelzira,Sudeste,20,feminino
Adelzita,Sudeste,13,feminino
Adelzuita,Nordeste,12,feminino
Ademair,Sudeste,15,masculino
Ademar,Sudeste,19054,masculino
Ademaria,Nordeste,16,feminino
Ademario,Nordeste,2314,masculino
Ademaro,Sudeste,12,masculino
Ademi,Nordeste,43,masculino
Ademicio,Sudeste,16,masculino
Ademil,Centro-Oeste,58,masculino
Ademilda,Nordeste,35,Indefinido
Ademilde,Sudeste,429,feminino
Ademildes,Nordeste,123,feminino
Ademildo,Sudeste,64,masculino
Ademilso,Sudeste,13,masculino
Ademilsom,Sudeste,130,masculino
Ademilson,Sudeste,6509,masculino
Ademilto,Sudeste,23,masculino
Ademiltom,Sudeste,28,masculino
Ademilton,Nordeste,1277,masculino
Ademir,Sudeste,50907,masculino
Ademira,Nordeste,20,feminino
Ademiro,Sudeste,50,masculino
Ademison,Sudeste,24,masculino
Adenaide,Sudeste,18,feminino
Adenaildes,Nordeste,11,desconhecido
Adenair,Sudeste,84,feminino
Adenaldo,Centro-Oeste,29,masculino
Adenalva,Sudeste,17,feminino
Adenauer,Sudeste,26,masculino
Adeni,Sudeste,93,provavelmente_feminino
Adenia,Sudeste,13,feminino
Adenias,Nordeste,29,masculino
Adenice,Sudeste,248,feminino
Adenicio,Sudeste,27,masculino
Adenil,Nordeste,113,provavelmente_masculino
Adenilce,Sudeste,41,feminino
Adenilda,Sudeste,436,feminino
Adenilde,Nordeste,293,feminino
Adenildes,Nordeste,315,feminino
Adenildo,Sudeste,624,masculino
Adenilma,Sudeste,13,feminino
Adenilsa,Sudeste,131,feminino
Adenilse,Sudeste,24,feminino
Adenilso,Sudeste,36,masculino
Adenilsom,Sudeste,51,masculino
Adenilson,Sudeste,9310,masculino
Adenilto,Nordeste,56,masculino
Adeniltom,Sudeste,15,masculino
Adenilton,Nordeste,2913,masculino
Adenilza,Nordeste,412,feminino
Adenir,Sudeste,2859,provavelmente_masculino
Adenira,Sudeste,33,feminino
Adenis,Sudeste,108,provavelmente_masculino
Adenise,Sudeste,145,feminino
Adenisia,Sudeste,34,feminino
Adenisio,Sudeste,56,masculino
Adenison,Sudeste,26,masculino
Adenita,Sudeste,31,feminino
Adenivaldo,Sudeste,18,masculino
Adenize,Sudeste,40,feminino
Adenizia,Sudeste,10,feminino
Adenoaldo,Nordeste,24,masculino
Adenor,Nordeste,158,masculino
Adenora,Norte,12,feminino
Adeodato,Nordeste,21,masculino
Ader,Sudeste,54,masculino
Aderaldo,Nordeste,530,masculino
Aderbal,Sudeste,691,masculino
Aderci,Sudeste,31,ambos
Adercio,Sudeste,32,masculino
Aderi,Sudeste,15,masculino
Aderico,Sudeste,22,masculino
Aderita,Sudeste,46,feminino
Aderito,Sudeste,140,masculino
Aderivaldo,Nordeste,70,masculino
Aderivan,Nordeste,10,masculino
Aderlan,Nordeste,87,masculino
Aderlandia,Sudeste,10,feminino
Aderlane,Nordeste,28,feminino
Aderlene,Sudeste,14,feminino
Aderli,Sudeste,29,ambos
Aderlinda,Nordeste,22,feminino
Adermar,Sudeste,14,masculino
Adermir,Sudeste,11,masculino
Adernoel,Nordeste,31,masculino
Adersom,Sudeste,10,masculino
Aderson,Sudeste,783,masculino
Aderval,Sudeste,252,masculino
Adervaldo,Sudeste,18,masculino
Adervan,Norte,11,masculino
Adesia,Sudeste,17,feminino
Adesio,Sudeste,61,masculino
Adeson,Nordeste,33,masculino
Adete,Sudeste,11,feminino
Adetina,Sudeste,12,feminino
Adeuzita,Sudeste,10,desconhecido
Adevair,Centro-Oeste,201,Indefinido
Adeval,Nordeste,146,masculino
Adevaldo,Sudeste,913,masculino
Adevan,Nordeste,68,masculino
Adevando,Sudeste,12,masculino
Adevani,Sudeste,12,ambos
Adevania,Sudeste,34,feminino
Adevanildo,Sudeste,11,masculino
Adevanio,Sudeste,20,masculino
Adevanir,Sudeste,79,provavelmente_masculino
Adevilson,Sudeste,28,masculino
Adhemar,Sudeste,241,masculino
Adhemir,Sudeste,12,desconhecido
Adherbal,Sudeste,33,masculino
Adi,Sul,262,ambos
Adiana,Sudeste,102,feminino
Adiane,Sudeste,15,feminino
Adiano,Sudeste,38,masculino
Adib,Sudeste,94,masculino
Adiceia,Sudeste,10,desconhecido
Adicelia,Centro-Oeste,10,feminino
Adiel,Nordeste,682,masculino
Adiele,Nordeste,11,feminino
Adielson,Nordeste,120,masculino
Adiene,Norte,14,feminino
Adierson,Sul,12,masculino
Adijane,Sudeste,11,feminino
Adil,Sudeste,253,masculino
Adila,Nordeste,863,feminino
Adilaine,Sudeste,28,feminino
Adilane,Nordeste,18,feminino
Adilar,Sul,127,masculino
Adilberto,Sudeste,12,masculino
Adilce,Sudeste,63,feminino
Adilcea,Sudeste,22,feminino
Adilceia,Sudeste,46,feminino
Adildon,Sudeste,19,masculino
Adilea,Sudeste,66,feminino
Adileia,Sudeste,259,feminino
Adileide,Sudeste,16,feminino
Adilene,Sudeste,301,feminino
Adiles,Sul,544,feminino
Adileusa,Sudeste,24,feminino
Adileuza,Sudeste,46,feminino
Adilha,Sudeste,27,feminino
Adilho,Sudeste,50,masculino
Adilia,Sudeste,506,feminino
Adilina,Sudeste,12,feminino
Adilio,Sudeste,1013,masculino
Adilis,Sul,34,feminino
Adilma,Nordeste,906,feminino
Adilmar,Nordeste,11,masculino
Adilon,Sudeste,73,masculino
Adilor,Sudeste,16,masculino
Adilsa,Sudeste,98,feminino
Adilse,Sudeste,10,feminino
Adilsn,Sudeste,12,masculino
Adilso,Sudeste,267,masculino
Adilsom,Sudeste,1530,masculino
Adilson,Sudeste,83289,masculino
Adilto,Nordeste,17,masculino
Adilton,Nordeste,1630,masculino
Adilza,Nordeste,247,feminino
Adima,Sudeste,36,feminino
Adimar,Sudeste,216,masculino
Adimilsom,Sudeste,18,masculino
Adimilson,Sudeste,699,masculino
Adimir,Sudeste,53,masculino
Adina,Sudeste,255,feminino
Adinael,Sudeste,64,masculino
Adinaildes,Nordeste,10,desconhecido
Adinailton,Nordeste,25,masculino
Adinair,Nordeste,15,feminino
Adinaldo,Sudeste,126,masculino
Adinalva,Sudeste,103,feminino
Adinamar,Norte,41,masculino
Adinan,Sudeste,56,masculino
Adine,Sudeste,14,feminino
Adinei,Sudeste,45,masculino
Adineia,Sudeste,107,feminino
Adineide,Sudeste,11,feminino
Adinelia,Nordeste,11,feminino
Adinelson,Norte,32,masculino
Adinete,Sudeste,16,feminino
Adinilson,Sudeste,41,masculino
Adinir,Sul,13,ambos
Adinolia,Sudeste,10,feminino
Adione,Sudeste,12,ambos
Adir,Sul,4122,masculino
Adirce,Sudeste,32,feminino
Adirlene,Sudeste,11,feminino
Adirson,Sudeste,65,masculino
Adisom,Sudeste,29,masculino
Adison,Sudeste,867,masculino
Adisson,Nordeste,82,masculino
Adiva,Sudeste,12,feminino
Adivair,Centro-Oeste,12,masculino
Adival,Sudeste,20,masculino
Adivaldo,Sudeste,150,masculino
Adivan,Sudeste,17,masculino
Adivania,Sudeste,24,feminino
Adivar,Sudeste,10,masculino
Adja,Nordeste,122,feminino
Adjailson,Nordeste,108,masculino
Adjailton,Nordeste,12,masculino
Adjair,Nordeste,140,masculino
Adjalma,Sudeste,16,masculino
Adjamir,Nordeste,12,desconhecido
Adjan,Nordeste,10,masculino
Adjane,Nordeste,362,feminino
Adjanira,Sudeste,10,feminino
Adjar,Centro-Oeste,17,masculino
Adla,Nordeste,427,feminino
Adlberto,Sudeste,12,masculino
Adlene,Nordeste,47,feminino
Adler,Sudeste,150,masculino
Adley,Centro-Oeste,13,masculino
Adlson,Sudeste,73,masculino
Adma,Sudeste,296,feminino
Admael,Sudeste,10,masculino
Admar,Sudeste,428,masculino
Admardo,Sudeste,14,desconhecido
Admario,Sudeste,25,masculino
Admilde,Sudeste,12,feminino
Admilsom,Sudeste,46,masculino
Admilson,Sudeste,3504,masculino
Admilton,Nordeste,58,masculino
Admir,Sudeste,1039,masculino
Admison,Sudeste,10,masculino
Adna,Nordeste,1659,feminino
Adnael,Sudeste,11,masculino
Adnailson,Nordeste,14,masculino
Adnailton,Nordeste,31,masculino
Adnair,Sudeste,13,feminino
Adnaldo,Nordeste,93,masculino
Adnalva,Sudeste,52,feminino
Adnan,Sudeste,100,masculino
Adne,Sudeste,12,feminino
Adnei,Sudeste,33,masculino
Adneia,Sudeste,101,feminino
Adnelia,Centro-Oeste,12,feminino
Adnelson,Norte,25,masculino
Adner,Sudeste,15,masculino
Adnil,Nordeste,10,desconhecido
Adnilson,Sudeste,210,masculino
Adnilton,Sudeste,24,masculino
Adnir,Sudeste,34,provavelmente_masculino
Adnolia,Nordeste,22,feminino
Ado,Sudeste,15,masculino
Adoaldo,Sudeste,23,masculino
Adoan,Nordeste,13,desconhecido
Adolar,Sul,448,masculino
Adolfa,Sudeste,18,feminino
Adolfina,Sudeste,104,feminino
Adolfo,Sudeste,4975,masculino
Adolpho,Sudeste,223,masculino
Adonai,Norte,329,masculino
Adonay,Norte,36,masculino
Adonel,Sudeste,30,masculino
Adones,Nordeste,108,masculino
Adonias,Nordeste,2583,masculino
Adonildo,Nordeste,17,masculino
Adonilson,Sudeste,17,masculino
Adonir,Sul,38,masculino
Adoniram,Sudeste,12,masculino
Adoniran,Sudeste,50,masculino
Adonis,Sudeste,309,masculino
Adoracao,Sudeste,22,feminino
Adoracion,Sudeste,14,desconhecido
Adorilde,Sul,15,feminino
Adosinda,Sudeste,22,desconhecido
Adozinda,Sudeste,35,desconhecido
Adra,Norte,13,provavelmente_feminino
Adrana,Sudeste,206,feminino
Adrano,Sudeste,63,masculino
Adre,Sudeste,141,masculino
Adrea,Sudeste,279,feminino
Adreana,Sudeste,12,feminino
Adrei,Sudeste,37,Indefinido
Adreia,Sudeste,890,feminino
Adrele,Nordeste,10,feminino
Adreli,Sudeste,11,feminino
Adrelina,Nordeste,14,feminino
Adresa,Sudeste,48,feminino
Adressa,Sudeste,297,feminino
Adrew,Sudeste,11,masculino
Adrey,Sudeste,13,masculino
Adreza,Nordeste,68,feminino
Adri,Sudeste,18,masculino
Adria,Norte,5281,provavelmente_feminino
Adriaa,Sudeste,18,feminino
Adrialisson,Nordeste,12,desconhecido
Adriam,Sudeste,36,masculino
Adrian,Sudeste,8134,masculino
Adriana,Sudeste,273818,feminino
Adriane,Sul,13339,feminino
Adriangela,Nordeste,12,feminino
Adriani,Sul,311,feminino
Adrianna,Sudeste,31,feminino
Adrianne,Sudeste,80,feminino
Adrianny,Norte,13,feminino
Adriano,Sudeste,137179,masculino
Adriany,Sudeste,73,feminino
Adriao,Sudeste,50,masculino
Adricia,Nordeste,142,feminino
Adrieida,Norte,39,feminino
Adriel,Nordeste,5216,masculino
Adriela,Nordeste,25,feminino
Adriele,Nordeste,22035,feminino
Adrielen,Sudeste,32,feminino
Adrielhe,Norte,11,feminino
Adrieli,Sudeste,4287,feminino
Adrielle,Sudeste,1690,feminino
Adriellen,Sudeste,12,feminino
Adrielli,Sudeste,212,feminino
Adrielly,Sudeste,1004,feminino
Adrielma,Norte,21,feminino
Adrielson,Norte,578,masculino
Adriely,Nordeste,643,feminino
Adrien,Sudeste,73,masculino
Adriene,Sudeste,1488,feminino
Adrieni,Norte,23,feminino
Adrienne,Sudeste,67,feminino
Adrienny,Norte,12,feminino
Adrile,Nordeste,14,feminino
Adrilena,Norte,10,desconhecido
Adrilene,Norte,48,feminino
Adrina,Sudeste,759,feminino
Adrine,Norte,99,feminino
Adrino,Sudeste,237,masculino
Adrio,Norte,45,masculino
Adrisio,Nordeste,10,desconhecido
Adrison,Norte,35,masculino
Adrizia,Nordeste,11,feminino
Adroaldo,Sul,1663,masculino
Adroir,Sul,14,masculino
Adrovanio,Nordeste,10,desconhecido
Adrya,Norte,83,feminino
Adryan,Sudeste,178,masculino
Adryel,Sudeste,32,masculino
Adryele,Sudeste,21,feminino
Adryelle,Sudeste,27,Indefinido
Adsom,Nordeste,19,masculino
Adson,Nordeste,4329,masculino
Adua,Sudeste,18,feminino
Aduardo,Sudeste,14,masculino
Aduilson,Nordeste,75,masculino
Adulce,Sul,10,desconhecido
Aduzinda,Sudeste,20,feminino
Adva,Centro-Oeste,12,feminino
Advair,Centro-Oeste,38,masculino
Advaldo,Sudeste,309,masculino
Advan,Sudeste,27,masculino
Advania,Sudeste,19,feminino
Ady,Sudeste,68,provavelmente_feminino
Adyr,Sudeste,87,ambos
Ae,Sudeste,17,desconhecido
Aecio,Sudeste,1029,masculino
Aedson,Sudeste,10,masculino
Aelcio,Sudeste,105,masculino
Aelia,Sudeste,11,feminino
Aelio,Nordeste,26,masculino
Aelita,Sudeste,12,desconhecido
Aeliton,Sudeste,11,masculino
Aelso,Sudeste,14,masculino
Aelson,Nordeste,662,masculino
Aelton,Sudeste,88,masculino
Aender,Sudeste,105,masculino
Aenderson,Sudeste,18,masculino
Aercio,Sudeste,114,masculino
Aerton,Nordeste,81,masculino
Aesio,Sudeste,19,masculino
Aessandra,Sudeste,38,feminino
Aessandro,Sudeste,12,masculino
Aex,Sudeste,43,masculino
Aexandra,Sudeste,17,feminino
Aexandre,Sudeste,193,masculino
Aexandro,Sudeste,13,masculino
Afabio,Sudeste,11,masculino
Afelipe,Sudeste,10,masculino
Affonso,Sudeste,274,masculino
Afif,Sudeste,14,desconhecido
Afoncina,Sudeste,21,feminino
Afonco,Sudeste,49,masculino
Afonsa,Sudeste,30,feminino
Afonsina,Sudeste,204,feminino
Afonso,Sudeste,18280,masculino
Afonson,Sudeste,10,masculino
Afra,Sudeste,151,feminino
Afrancisco,Sudeste,13,masculino
Afranio,Sudeste,1816,masculino
Afredo,Sudeste,23,masculino
Afro,Sudeste,11,masculino
Agabriel,Sudeste,20,masculino
Agaci,Nordeste,17,masculino
Agacir,Sul,12,masculino
Agada,Sudeste,17,feminino
Agamenom,Sudeste,21,masculino
Agamenon,Sudeste,313,masculino
Agape,Norte,10,feminino
Agapito,Sudeste,64,masculino
Agar,Sudeste,39,feminino
Agata,Sudeste,10754,feminino
Agatangelo,Nordeste,13,masculino
Agath,Sudeste,10,feminino
Agatha,Sudeste,7269,feminino
Agda,Sudeste,3255,feminino
Agdo,Sudeste,22,masculino
Agel,Norte,39,masculino
Agela,Sudeste,20,feminino
Agelica,Sudeste,31,feminino
Agelina,Sudeste,20,feminino
Agelita,Sudeste,11,feminino
Agemir,Sudeste,13,masculino
Agemira,Sudeste,28,feminino
Agemiro,Sudeste,405,masculino
Agenaldo,Sudeste,12,masculino
Agenario,Sudeste,51,masculino
Ageni,Sudeste,13,feminino
Agenilda,Sudeste,29,feminino
Agenildo,Nordeste,145,masculino
Agenilson,Nordeste,30,masculino
Agenir,Sudeste,36,provavelmente_feminino
Agenor,Sudeste,7381,masculino
Agenora,Sudeste,19,feminino
Ageo,Sudeste,24,masculino
Ageu,Sudeste,674,masculino
Aghata,Sudeste,1041,feminino
Aghatta,Sudeste,12,feminino
Aghta,Sudeste,10,feminino
Agilberto,Sudeste,11,masculino
